City,Cloudiness,Country,Date / Time,Humidity,Lat,Lon,Max Temp,Wind Speed
Nabari,75,JP,2017-10-29 17:16:00 PM,58,34.62,136.08,55.4,21.92
Volya,0,RU,2017-10-29 17:30:00 PM,81,51.77,39.54,42.8,8.95
Eregli,20,TR,2017-10-29 18:22:06 PM,97,37.51,34.05,46.11,1.83
Carlogani,0,RO,2017-10-29 18:00:00 PM,66,44.52,24.15,48.2,18.34
Rome,20,US,2017-10-29 17:55:00 PM,52,34.26,-85.16,46.4,8.05
Otradnoye,90,RU,2017-10-29 17:30:00 PM,93,59.78,30.82,37.4,3.85
Lodja,92,CD,2017-10-29 18:22:07 PM,95,-3.48,23.43,72.61,3.06
Kaitong,0,CN,2017-10-29 18:22:07 PM,66,44.81,123.15,26.98,8.77
Carvin,75,FR,2017-10-29 18:00:00 PM,93,50.49,2.96,50.0,6.93
Ilongero,0,TZ,2017-10-29 18:22:07 PM,66,-4.67,34.87,63.84,12.68
Hoogstraten,40,BE,2017-10-29 17:55:00 PM,86,51.4,4.76,50.0,6.93
Wabrzezno,40,PL,2017-10-29 18:00:00 PM,86,53.28,18.95,37.4,13.87
Fuchu,1,JP,2017-10-29 17:56:00 PM,55,35.67,139.48,64.4,16.11
Chandla,0,IN,2017-10-29 18:22:09 PM,65,25.08,80.2,67.57,2.73
Loos,75,FR,2017-10-29 18:00:00 PM,93,50.61,3.02,50.0,6.93
Rutherford,90,US,2017-10-29 17:56:00 PM,93,40.83,-74.11,66.2,13.87
Racoasa,20,RO,2017-10-29 18:00:00 PM,61,46.0,26.88,50.0,10.29
Jumilla,0,ES,2017-10-29 18:00:00 PM,93,38.48,-1.32,46.4,2.24
Almere Stad,20,NL,2017-10-29 17:55:00 PM,81,52.37,5.21,50.0,4.7
Braesti,20,RO,2017-10-29 18:00:00 PM,70,47.15,27.1,42.8,21.92
Muncar,56,ID,2017-10-29 18:22:10 PM,96,-8.43,114.33,77.74,2.95
Savyon,0,IL,2017-10-29 17:50:00 PM,64,32.05,34.88,69.8,8.05
Ilihan,88,PH,2017-10-29 18:22:11 PM,100,13.63,121.08,73.83,2.95
Secuieni,20,RO,2017-10-29 18:00:00 PM,61,46.65,27.1,50.0,10.29
Batala,0,IN,2017-10-29 17:30:00 PM,100,31.82,75.2,62.6,2.73
Sofiyivka,90,UA,2017-10-29 17:30:00 PM,93,48.05,33.87,44.6,13.42
La Plata,90,US,2017-10-29 17:56:00 PM,93,38.53,-76.98,64.4,14.99
Aleksandrovskoye,64,RU,2017-10-29 18:22:12 PM,91,44.71,43.0,43.0,1.83
Departamento de San Pedro,80,PY,2017-10-29 18:22:13 PM,84,-24.25,-56.5,77.88,7.54
Jakar,0,BT,2017-10-29 18:22:13 PM,71,27.55,90.75,28.74,2.06
Lorena,90,BR,2017-10-29 17:00:00 PM,65,-22.73,-45.12,80.6,8.05
Ellezelles,75,BE,2017-10-29 18:00:00 PM,93,50.72,3.7,42.8,6.93
Traian,20,RO,2017-10-29 18:00:00 PM,61,46.63,27.03,50.0,10.29
Saint-Maurice,0,FR,2017-10-29 18:00:00 PM,76,48.82,2.43,48.2,12.75
Chimoio,75,MZ,2017-10-29 17:00:00 PM,100,-19.12,33.48,59.0,12.75
Rimoc,12,HU,2017-10-29 18:22:15 PM,82,48.04,19.53,40.53,13.24
Jiexiu,0,CN,2017-10-29 18:22:15 PM,79,37.02,111.91,23.47,2.73
Tranca,20,PH,2017-10-29 18:00:00 PM,100,14.12,121.06,77.0,2.24
Kinamayan,75,PH,2017-10-29 18:00:00 PM,94,7.5,125.67,75.2,2.24
Montebello,75,CO,2017-10-29 17:00:00 PM,100,5.95,-75.53,68.0,4.7
Paltinis,40,RO,2017-10-29 18:00:00 PM,80,48.22,26.65,39.2,26.4
Shilovo,92,RU,2017-10-29 18:22:17 PM,95,54.32,40.87,39.31,12.01
College Place,1,US,2017-10-29 17:56:00 PM,71,46.05,-118.39,60.8,3.36
Yunlin,40,TW,2017-10-29 17:30:00 PM,72,23.71,120.38,66.2,12.75
Indi,0,IN,2017-10-29 18:18:51 PM,59,17.17,75.97,71.53,10.0
Sibucao,24,PH,2017-10-29 18:22:18 PM,98,10.42,122.89,71.53,2.62
Tahlequah,1,US,2017-10-29 17:56:00 PM,34,35.92,-94.97,71.6,4.7
West Palm Beach,1,US,2017-10-29 17:53:00 PM,49,26.72,-80.05,71.6,23.04
Cap Estate,20,LC,2017-10-29 17:30:00 PM,78,14.08,-60.95,84.2,8.05
Ratanpur,0,IN,2017-10-29 18:22:19 PM,58,22.3,82.17,65.64,4.07
Kisarazu,20,JP,2017-10-29 17:56:00 PM,52,35.37,139.92,64.4,21.92
Ribeira Grande,40,PT,2017-10-29 18:00:00 PM,94,38.52,-28.7,68.0,6.93
Plasy,20,CZ,2017-10-29 18:00:00 PM,86,49.93,13.39,39.2,5.82
East Arnhem,0,AU,2017-10-29 18:22:20 PM,91,-12.66,135.82,71.31,2.62
Ha Noi,0,VN,2017-10-29 18:00:00 PM,68,21.02,105.84,69.8,5.82
Ḩawallī,5,KW,2017-10-29 18:00:00 PM,78,29.33,48.03,75.2,11.41
Ericeira,0,PT,2017-10-29 18:00:00 PM,26,38.96,-9.42,69.8,8.05
Blagoveshchensk,0,RU,2017-10-29 17:30:00 PM,73,50.27,127.53,19.4,4.47
Cossato,0,IT,2017-10-29 17:50:00 PM,81,45.57,8.18,50.0,3.36
Manay,24,PH,2017-10-29 18:22:21 PM,96,7.21,126.54,77.02,6.2
Notre-Dame-de-Gravenchon,75,FR,2017-10-29 18:00:00 PM,76,49.49,0.57,48.2,3.36
Palmeiras de Goias,76,BR,2017-10-29 18:22:22 PM,65,-16.8,-49.93,81.21,1.39
Gialo,0,LY,2017-10-29 18:22:22 PM,72,29.03,21.55,61.54,6.64
Grosbous,0,LU,2017-10-29 17:50:00 PM,93,49.83,5.97,39.2,5.82
Sinayawan,75,PH,2017-10-29 18:00:00 PM,94,6.71,125.31,75.2,2.24
Hennenman,76,ZA,2017-10-29 18:22:23 PM,60,-27.98,27.02,63.61,4.41
Siempre Viva,92,PH,2017-10-29 18:22:23 PM,100,17.23,121.63,70.86,4.63
Miandowab,40,IR,2017-10-29 17:00:00 PM,44,36.97,46.1,60.8,6.93
Chester,75,CA,2017-10-29 18:00:00 PM,100,44.55,-64.25,51.8,8.05
Inverkeithing,0,GB,2017-10-29 17:50:00 PM,100,56.03,-3.4,41.0,1.12
Pembroke Pines,1,US,2017-10-29 17:58:00 PM,53,26.0,-80.22,73.4,12.75
Ondjiva,76,AO,2017-10-29 18:22:25 PM,88,-17.07,15.73,65.01,10.0
Minusinsk,0,RU,2017-10-29 17:30:00 PM,74,53.71,91.69,33.8,8.95
Morkov,40,CZ,2017-10-29 18:00:00 PM,65,49.54,18.06,41.0,10.29
Murrhardt,0,DE,2017-10-29 17:50:00 PM,80,48.98,9.57,41.0,10.29
Manchester,90,US,2017-10-29 17:56:00 PM,93,43.0,-71.45,60.8,12.75
Turka,0,RU,2017-10-29 18:22:26 PM,100,52.95,108.22,20.19,2.28
Agua Buena,92,PA,2017-10-29 18:22:27 PM,99,7.82,-80.4,78.73,4.63
Galesti,80,RO,2017-10-29 18:00:00 PM,94,46.52,24.75,44.6,17.22
Mazabuka,20,ZM,2017-10-29 18:22:27 PM,62,-15.86,27.75,69.64,12.35
Nove Hrady,80,CZ,2017-10-29 18:22:28 PM,88,48.79,14.78,38.46,16.04
Pinahan,88,PH,2017-10-29 18:22:28 PM,87,15.63,121.06,74.32,2.06
Didao,0,CN,2017-10-29 18:22:28 PM,55,45.37,130.8,27.88,8.77
Lingating,76,PH,2017-10-29 18:22:29 PM,100,8.33,124.63,70.63,2.73
Saint Petersburg,90,RU,2017-10-29 17:30:00 PM,93,59.89,30.26,37.4,5.53
Paltinoasa,40,RO,2017-10-29 18:00:00 PM,80,47.55,25.95,39.2,26.4
Cisaat,8,ID,2017-10-29 18:22:30 PM,100,-6.29,105.97,77.47,7.09
Valenton,0,FR,2017-10-29 18:00:00 PM,76,48.75,2.47,48.2,12.75
Maneromango,20,TZ,2017-10-29 17:00:00 PM,88,-7.2,38.78,75.2,5.82
Windsor,75,CA,2017-10-29 18:00:00 PM,65,42.3,-83.02,46.4,6.93
Riverdale,40,US,2017-10-29 17:56:00 PM,60,33.57,-84.41,46.4,23.04
Ayia Marina,20,GR,2017-10-29 17:50:00 PM,72,35.52,23.93,62.6,23.04
Zarautz,92,ES,2017-10-29 18:00:00 PM,100,43.28,-2.17,59.0,1.12
Qiryat Motzkin,68,IL,2017-10-29 18:22:32 PM,100,32.84,35.08,75.31,23.2
Elyria,90,US,2017-10-29 17:56:00 PM,100,41.37,-82.11,46.4,9.17
Vista Alegre,40,PA,2017-10-29 18:00:00 PM,83,8.93,-79.7,80.6,4.7
Tabas,0,IR,2017-10-29 18:22:33 PM,55,33.6,56.92,55.38,3.18
Triel-sur-Seine,0,FR,2017-10-29 18:00:00 PM,87,48.98,2.01,48.2,9.17
Sunzha,8,RU,2017-10-29 18:22:34 PM,84,43.06,44.82,43.18,1.05
Millau,90,FR,2017-10-29 18:00:00 PM,100,44.1,3.08,46.4,10.29
Digos,75,PH,2017-10-29 18:00:00 PM,94,6.75,125.36,75.2,2.24
Roth,20,DE,2017-10-29 17:58:00 PM,80,49.24,11.09,42.8,9.17
Rajnagar,0,IN,2017-10-29 18:22:35 PM,68,24.88,79.92,65.05,3.74
Jaynagar,36,IN,2017-10-29 18:22:35 PM,94,26.58,86.15,63.93,7.87
Biharkeresztes,32,HU,2017-10-29 18:00:00 PM,75,47.13,21.72,44.6,14.99
Ramnicu Valcea,24,RO,2017-10-29 18:22:36 PM,63,45.1,24.37,44.62,12.46
Gilau,75,RO,2017-10-29 18:00:00 PM,52,46.73,23.36,44.6,18.34
Bom Jesus do Galho,75,BR,2017-10-29 17:00:00 PM,62,-19.83,-42.32,84.2,13.87
Stanislav,92,UA,2017-10-29 18:22:37 PM,97,46.57,32.15,50.2,21.85
Bala,20,RO,2017-10-29 18:22:37 PM,81,44.88,22.83,39.94,10.0
Motrico,75,PH,2017-10-29 17:00:00 PM,78,15.41,120.68,78.8,5.82
Pueblo Nuevo Vinas,20,GT,2017-10-29 18:00:00 PM,56,14.23,-90.47,84.2,13.87
Gandai,92,IN,2017-10-29 18:22:38 PM,68,21.67,81.1,71.89,2.28
Northam,0,AU,2017-10-29 18:00:00 PM,66,-31.67,116.67,55.4,6.93
Czersk,24,PL,2017-10-29 18:22:39 PM,93,53.8,17.98,38.86,21.52
Pensilvania,92,CO,2017-10-29 18:22:39 PM,97,5.38,-75.16,65.59,1.72
Turmeque,92,CO,2017-10-29 18:22:40 PM,100,5.32,-73.49,54.48,1.61
Lipin Bor,92,RU,2017-10-29 18:22:40 PM,100,60.26,37.98,35.76,13.58
East Haven,90,US,2017-10-29 18:13:00 PM,93,41.28,-72.87,66.2,14.99
Tsukuba,20,JP,2017-10-29 17:30:00 PM,59,36.2,140.1,60.8,13.87
Balete,20,PH,2017-10-29 18:00:00 PM,100,14.02,121.1,77.0,2.24
Vapnyarka,12,UA,2017-10-29 18:22:41 PM,90,48.53,28.74,40.53,15.37
Ajka,0,HU,2017-10-29 17:45:00 PM,56,47.1,17.56,44.6,18.34
Busay,76,PH,2017-10-29 18:22:42 PM,96,10.54,122.88,74.41,3.74
Northfield,90,US,2017-10-29 17:35:00 PM,75,44.46,-93.16,44.6,4.7
Te Anau,56,NZ,2017-10-29 18:22:42 PM,68,-45.42,167.72,58.39,6.08
Boyle,0,IE,2017-10-29 17:30:00 PM,93,53.97,-8.3,42.8,5.82
Vasterhaninge,92,SE,2017-10-29 17:50:00 PM,59,59.12,18.1,37.4,18.34
Colleyville,1,US,2017-10-29 17:57:00 PM,14,32.88,-97.16,78.8,11.41
Gagnoa,48,CI,2017-10-29 18:22:44 PM,85,6.13,-5.94,76.98,5.08
Sunrise Manor,1,US,2017-10-29 17:56:00 PM,15,36.21,-115.07,82.4,3.74
Lompoc,90,US,2017-10-29 18:11:00 PM,87,34.64,-120.46,62.6,4.7
Tyumen,75,RU,2017-10-29 17:30:00 PM,92,57.15,65.53,21.2,13.42
Linares,0,ES,2017-10-29 18:22:45 PM,77,38.1,-3.64,43.63,2.62
Lake Elsinore,1,US,2017-10-29 17:59:00 PM,41,33.67,-117.33,82.4,11.41
Kampala,75,UG,2017-10-29 17:00:00 PM,94,0.32,32.58,71.6,3.36
Princes Town,20,TT,2017-10-29 18:00:00 PM,78,10.27,-61.38,82.4,5.82
Port Orange,1,US,2017-10-29 17:58:00 PM,31,29.14,-81.0,66.2,12.75
Ifanadiana,100,MG,2017-10-29 18:22:46 PM,99,-21.3,47.63,58.48,7.2
Guiong,40,PH,2017-10-29 18:00:00 PM,94,6.42,122.03,77.0,7.43
Colina,32,BR,2017-10-29 18:20:30 PM,84,-20.71,-48.54,77.47,3.85
Yudong,40,CN,2017-10-29 17:00:00 PM,93,29.39,106.52,62.6,4.63
Pasaco,40,GT,2017-10-29 18:00:00 PM,74,13.98,-90.21,84.2,6.93
Rosehearty,75,GB,2017-10-29 17:50:00 PM,81,57.7,-2.11,42.8,10.29
Adalaj,32,IN,2017-10-29 18:30:00 PM,53,23.17,72.58,75.2,2.84
Ralevka,75,UA,2017-10-29 17:30:00 PM,69,49.5,23.24,39.2,20.13
Teignmouth,40,GB,2017-10-29 17:50:00 PM,93,50.55,-3.5,46.4,1.12
Santa Barbara,75,GT,2017-10-29 18:00:00 PM,66,14.43,-91.23,84.2,4.7
Chachoengsao,0,TH,2017-10-29 18:00:00 PM,61,13.69,101.07,80.6,13.87
Hagersville,75,CA,2017-10-29 18:00:00 PM,65,42.97,-80.05,44.6,5.82
Masalipit,75,PH,2017-10-29 17:00:00 PM,78,15.15,121.04,78.8,5.82
Lourdes,75,PH,2017-10-29 18:00:00 PM,83,14.97,120.68,78.8,8.05
Bunawan,24,PH,2017-10-29 18:22:50 PM,93,8.17,126.08,70.63,3.4
Alcaniz,0,ES,2017-10-29 18:22:50 PM,66,41.05,-0.13,51.19,11.79
Lucban,76,PH,2017-10-29 18:22:51 PM,100,14.11,121.56,77.29,13.02
Petange,0,LU,2017-10-29 17:50:00 PM,93,49.56,5.88,39.2,5.82
Bristol,90,US,2017-10-29 18:10:00 PM,93,41.67,-72.95,64.4,14.99
Kostajnica,0,BA,2017-10-29 18:00:00 PM,30,45.22,16.54,55.4,23.04
Oracon,0,PH,2017-10-29 18:22:52 PM,100,10.48,122.58,81.07,15.03
Mancilang,80,PH,2017-10-29 18:22:53 PM,100,11.28,123.75,82.74,9.55
Eisenhüttenstadt,92,DE,2017-10-29 18:18:53 PM,93,52.15,14.63,42.28,18.5
Sunderland,20,GB,2017-10-29 17:50:00 PM,80,54.9,-1.38,44.6,5.82
Araguaçu,8,BR,2017-10-29 18:22:53 PM,62,-12.93,-49.83,87.37,1.83
Maribondo,20,BR,2017-10-29 18:00:00 PM,88,-9.58,-36.31,73.4,5.82
Kitcharao,76,PH,2017-10-29 18:22:54 PM,100,9.46,125.57,78.82,5.64
Kunda,0,IN,2017-10-29 18:22:54 PM,80,25.72,81.52,65.41,2.73
Topolobampo,5,MX,2017-10-29 17:44:00 PM,48,25.6,-109.05,87.8,12.75
Polican,68,AL,2017-10-29 18:22:55 PM,76,40.61,20.1,55.83,6.64
Helsinge,88,DK,2017-10-29 17:50:00 PM,48,56.02,12.2,44.6,27.51
Brookhaven,1,US,2017-10-29 17:53:00 PM,31,31.58,-90.44,60.8,8.05
Wijnegem,20,BE,2017-10-29 17:55:00 PM,81,51.23,4.52,46.4,3.36
El Paraiso,44,HN,2017-10-29 18:22:56 PM,81,13.87,-86.55,74.01,2.62
Poco Branco,20,BR,2017-10-29 18:00:00 PM,83,-5.62,-35.66,78.8,9.17
East Moline,90,US,2017-10-29 17:35:00 PM,34,41.5,-90.44,51.8,14.99
Tandayag,75,PH,2017-10-29 17:00:00 PM,88,9.45,123.23,78.8,3.29
Krithia,0,GR,2017-10-29 17:50:00 PM,65,40.84,22.98,46.4,3.36
Quatre Bornes,75,MU,2017-10-29 18:00:00 PM,88,-20.26,57.47,73.4,3.36
Pagadian,8,PH,2017-10-29 18:22:58 PM,88,7.83,123.44,74.32,3.96
Shurobod,0,TJ,2017-10-29 18:22:58 PM,40,37.84,70.05,38.28,2.17
Moravsky Beroun,40,CZ,2017-10-29 18:00:00 PM,65,49.79,17.44,41.0,10.29
Horizontina,92,BR,2017-10-29 18:22:59 PM,57,-27.63,-54.31,79.99,7.31
Yancheng,0,CN,2017-10-29 18:23:00 PM,81,33.39,120.13,41.47,10.56
Nea Michaniona,0,GR,2017-10-29 17:50:00 PM,65,40.46,22.86,46.4,3.36
Patti,0,IN,2017-10-29 17:30:00 PM,100,31.28,74.86,66.2,2.73
Kingsgate,1,US,2017-10-29 17:57:00 PM,76,47.73,-122.18,55.4,5.82
Stadskanaal,92,NL,2017-10-29 17:55:00 PM,70,52.99,6.95,46.4,13.87
Neem ka Thana,0,IN,2017-10-29 18:23:02 PM,61,27.73,75.8,58.08,4.63
Vista Hermosa,75,MX,2017-10-29 17:51:00 PM,28,19.52,-99.22,73.4,3.36
Ecublens,90,CH,2017-10-29 17:50:00 PM,66,46.53,6.56,50.0,3.36
Kilkis,0,GR,2017-10-29 17:50:00 PM,65,40.99,22.87,46.4,3.36
Bajos de Haina,75,DO,2017-10-29 18:00:00 PM,83,18.42,-70.03,84.2,6.93
Noci,0,IT,2017-10-29 17:55:00 PM,82,40.79,17.13,55.4,4.7
Hinganghat,40,IN,2017-10-29 18:00:00 PM,83,20.57,78.83,73.4,5.97
Balch Springs,1,US,2017-10-29 17:57:00 PM,14,32.73,-96.62,78.8,9.17
Mabilao,24,PH,2017-10-29 18:23:05 PM,89,16.15,120.42,70.27,2.39
Cermeño,40,PA,2017-10-29 18:00:00 PM,83,8.73,-79.85,80.6,4.7
Mbanza-Ngungu,76,CD,2017-10-29 18:23:06 PM,99,-5.25,14.87,68.83,3.51
Senov,40,CZ,2017-10-29 18:00:00 PM,65,49.79,18.38,41.0,10.29
San Giovanni Valdarno,20,IT,2017-10-29 17:50:00 PM,93,43.57,11.53,53.6,3.36
Rewa,0,IN,2017-10-29 18:23:07 PM,71,24.53,81.3,65.73,2.84
Tyniste nad Orlici,40,CZ,2017-10-29 18:00:00 PM,70,50.15,16.08,42.8,18.34
Jobner,0,IN,2017-10-29 17:30:00 PM,49,26.97,75.38,71.6,6.93
Pasichna,75,UA,2017-10-29 17:00:00 PM,80,48.57,24.43,41.0,17.9
Zamboanga,40,PH,2017-10-29 18:00:00 PM,94,6.91,122.07,77.0,7.87
Jua,76,IN,2017-10-29 18:23:09 PM,100,15.53,73.93,79.18,7.2
West Allis,40,US,2017-10-29 17:55:00 PM,45,43.02,-88.01,46.4,10.29
Onokhoy,0,RU,2017-10-29 17:30:00 PM,84,51.93,108.07,8.6,2.24
Aitoliko,40,GR,2017-10-29 17:50:00 PM,67,38.43,21.35,60.8,8.05
Sugcad,64,PH,2017-10-29 18:23:10 PM,96,13.37,123.7,73.83,2.84
Wollerau,90,CH,2017-10-29 17:50:00 PM,75,47.19,8.72,50.0,3.96
Nakhodka,0,RU,2017-10-29 18:23:11 PM,100,42.83,132.89,41.29,30.36
Mentekab,92,MY,2017-10-29 18:23:11 PM,98,3.49,102.35,73.33,2.39
Sapouy,0,BF,2017-10-29 18:23:12 PM,34,11.55,-1.77,80.17,8.32
Charlestown,20,KN,2017-10-29 18:00:00 PM,78,17.13,-62.62,82.4,6.93
Darmstadt,40,DE,2017-10-29 17:56:00 PM,75,49.87,8.65,44.6,9.17
Poste de Flacq,75,MU,2017-10-29 18:00:00 PM,88,-20.16,57.73,73.4,3.36
Paispamba,92,CO,2017-10-29 18:23:13 PM,91,2.25,-76.61,63.21,2.84
Kuvshinovo,92,RU,2017-10-29 18:23:13 PM,96,57.03,34.17,39.99,10.78
Nigrita,0,GR,2017-10-29 17:50:00 PM,65,40.91,23.5,46.4,3.36
Daud Khel,0,PK,2017-10-29 18:23:14 PM,87,32.88,71.57,54.79,4.97
San Rafael,64,PH,2017-10-29 18:23:14 PM,96,13.22,123.6,73.83,2.84
Dolgoye,92,RU,2017-10-29 18:23:14 PM,96,52.8,37.22,40.89,15.7
Sao Joao dos Inhamuns,0,BR,2017-10-29 18:23:15 PM,31,-6.0,-40.28,88.72,8.1
Cuapiaxtla,40,MX,2017-10-29 17:40:00 PM,55,19.3,-97.77,66.2,17.22
Kercem,20,MT,2017-10-29 17:45:00 PM,64,36.04,14.23,68.0,24.16
Marshall,1,US,2017-10-29 17:56:00 PM,13,32.54,-94.37,71.6,8.05
Aiquile,20,BO,2017-10-29 18:23:16 PM,28,-18.2,-65.18,76.12,5.97
Stavroupoli,0,GR,2017-10-29 17:50:00 PM,65,40.67,22.94,46.4,3.36
Maayong Tubig,75,PH,2017-10-29 17:00:00 PM,88,9.17,123.25,78.8,6.2
Pula,75,HR,2017-10-29 18:00:00 PM,62,44.87,13.85,59.0,19.46
Ausa,0,IN,2017-10-29 18:23:17 PM,77,18.25,76.5,66.4,7.2
Malicboy,68,PH,2017-10-29 18:23:17 PM,100,13.98,121.79,77.92,12.68
Obshtina Yambol,56,BG,2017-10-29 18:23:18 PM,68,42.48,26.5,47.68,8.21
Kalemie,24,CD,2017-10-29 18:23:18 PM,100,-5.95,29.19,72.66,3.96
Qorveh,0,IR,2017-10-29 18:23:18 PM,45,35.17,47.8,52.23,10.45
Kopong,0,BW,2017-10-29 18:00:00 PM,63,-24.48,25.88,60.8,4.7
Belmonte Mezzagno,75,IT,2017-10-29 17:50:00 PM,68,38.05,13.39,68.0,26.4
Ono,75,JP,2017-10-29 17:30:00 PM,58,34.85,134.93,59.0,27.51
Newton,90,US,2017-10-29 17:56:00 PM,100,42.34,-71.21,64.4,14.99
Koberice,40,CZ,2017-10-29 18:00:00 PM,65,49.99,18.05,41.0,10.29
Binzhou,0,CN,2017-10-29 18:23:20 PM,56,37.37,118.02,36.16,10.11
Aramus,90,AM,2017-10-29 17:30:00 PM,100,40.25,44.66,44.6,1.12
Ojhar,0,IN,2017-10-29 18:23:21 PM,70,20.1,73.93,60.69,3.96
Pinamopoan,8,PH,2017-10-29 18:23:21 PM,100,11.31,124.57,77.11,6.08
Vershino-Shakhtaminskiy,0,RU,2017-10-29 18:23:21 PM,68,51.3,117.89,11.95,2.39
Tejalpa,75,MX,2017-10-29 17:51:00 PM,50,18.9,-99.17,77.0,3.36
Chilpancingo de los Bravos,76,MX,2017-10-29 18:23:22 PM,67,17.55,-99.5,74.05,2.39
Aknalich,90,AM,2017-10-29 17:30:00 PM,100,40.14,44.15,44.6,1.12
Daesti,0,RO,2017-10-29 18:23:23 PM,76,44.97,24.13,41.88,13.24
Tatarskaya Pishlya,76,RU,2017-10-29 18:23:23 PM,96,54.06,44.9,35.04,7.76
Ada,20,RS,2017-10-29 17:45:00 PM,70,45.8,20.13,46.4,18.34
Mihalyi,0,HU,2017-10-29 17:45:00 PM,56,47.51,17.1,44.6,18.34
Cabugao,90,PH,2017-10-29 18:00:00 PM,83,17.79,120.46,77.0,9.17
San Isidro,80,CR,2017-10-29 18:23:24 PM,99,9.37,-83.7,68.79,1.16
Bugko,100,PH,2017-10-29 18:23:25 PM,100,12.54,124.79,78.82,6.42
Lalig,20,PH,2017-10-29 18:00:00 PM,100,13.98,121.33,77.0,2.24
Dhuwaran,0,IN,2017-10-29 18:23:25 PM,81,22.23,72.8,74.86,3.4
Golere,0,SN,2017-10-29 18:23:26 PM,21,16.26,-14.1,82.56,6.53
Cajamarca,90,PE,2017-10-29 17:30:00 PM,71,-7.16,-78.5,51.8,4.7
Goragorskiy,68,RU,2017-10-29 18:23:27 PM,89,43.5,45.08,46.78,2.95
Bandora,76,IN,2017-10-29 18:23:27 PM,100,15.4,73.97,79.18,7.2
Igurusi,20,TZ,2017-10-29 18:23:27 PM,80,-8.85,33.85,59.92,5.41
Taupo,80,NZ,2017-10-29 18:21:50 PM,93,-38.68,176.08,54.16,4.07
Izhmorskiy,64,RU,2017-10-29 18:23:28 PM,77,56.19,86.64,24.19,12.8
Basiao,68,PH,2017-10-29 18:23:28 PM,97,11.55,122.64,72.93,2.51
Ermont,20,FR,2017-10-29 18:00:00 PM,81,48.99,2.26,48.2,3.36
Dundee,0,ZA,2017-10-29 18:23:29 PM,72,-28.17,30.23,50.65,1.05
Sanarate,20,GT,2017-10-29 18:00:00 PM,56,14.79,-90.19,71.6,13.87
Gorom Gorom,0,BF,2017-10-29 18:23:30 PM,45,14.44,-0.24,72.61,4.41
Loksa,90,EE,2017-10-29 17:50:00 PM,86,59.58,25.72,37.4,11.41
Lake Elsinore,1,US,2017-10-29 17:59:00 PM,41,33.67,-117.33,82.4,11.41
Markova,75,UA,2017-10-29 17:00:00 PM,80,48.68,24.41,41.0,17.9
Pozega,0,HR,2017-10-29 18:00:00 PM,53,45.34,17.69,51.8,6.93
Mapili,56,PH,2017-10-29 18:23:31 PM,100,11.11,122.74,76.12,3.06
